frame,x,y,z,roty
1,26.362,0.115,-42.428,0
2,26.405,0.115,-42.394,0
3,26.448,0.115,-42.361,0
4,26.491,0.115,-42.327,0
5,26.534,0.115,-42.294,0
6,26.578,0.115,-42.26,0
7,26.621,0.115,-42.227,0
8,26.664,0.115,-42.193,0
9,26.707,0.115,-42.159,0
10,26.75,0.115,-42.126,0
11,26.794,0.115,-42.092,0
12,26.837,0.115,-42.059,0
13,26.88,0.115,-42.025,0
14,26.923,0.115,-41.992,0
15,26.966,0.115,-41.958,0
16,27.009,0.115,-41.924,0
17,27.053,0.115,-41.891,0
18,27.084,0.115,-41.863,0
19,27.116,0.115,-41.835,0
20,27.148,0.115,-41.808,0
21,27.18,0.115,-41.78,0
22,27.211,0.115,-41.752,0
23,27.243,0.115,-41.725,0
24,27.275,0.115,-41.697,0
25,27.307,0.115,-41.669,0
26,27.338,0.115,-41.642,0
27,27.37,0.115,-41.614,0
28,27.402,0.115,-41.586,0
29,27.434,0.115,-41.558,0
30,27.465,0.115,-41.531,0
31,27.497,0.115,-41.503,0
32,27.529,0.115,-41.475,0
33,27.561,0.115,-41.448,0
34,27.592,0.115,-41.42,0
35,27.624,0.115,-41.392,0
36,27.656,0.115,-41.365,0
37,27.688,0.115,-41.337,0
38,27.719,0.115,-41.309,0
39,27.71,0.115,-41.322,0
40,27.7,0.115,-41.336,0
41,27.691,0.115,-41.349,0
42,27.681,0.115,-41.362,0
43,27.671,0.115,-41.375,0
44,27.662,0.115,-41.388,0
45,27.652,0.115,-41.402,0
46,27.643,0.115,-41.415,0
47,27.633,0.115,-41.428,0
48,27.624,0.115,-41.441,0
49,27.614,0.115,-41.455,0
50,27.579,0.115,-41.498,0
51,27.544,0.115,-41.54,0
52,27.509,0.115,-41.583,0
53,27.474,0.115,-41.626,0
54,27.439,0.115,-41.669,0
55,27.404,0.115,-41.712,0
56,27.368,0.115,-41.755,0
57,27.333,0.115,-41.798,0
58,27.298,0.115,-41.841,0
59,27.263,0.115,-41.884,0
60,27.228,0.115,-41.927,0
