frame,x,y,z
1,27.298,0,-21.255
2,27.263,0,-21.291
3,27.228,0,-21.364
4,27.193,0,-21.4
5,27.158,0,-21.473
6,27.123,0,-21.509
7,27.088,0,-21.6
8,27.053,0,-21.636
9,27.053,0,-21.673
10,27.053,0,-21.709
11,27.035,0,-21.745
12,27.035,0,-21.8
13,27.035,0,-21.836
14,27.018,0,-21.909
15,27.018,0,-21.945
16,27.018,0,-21.982
17,27,0,-22.036
18,27,0,-22.073
19,27,0,-22.109
20,26.982,0,-22.182
21,26.982,0,-22.218
22,26.982,0,-22.273
23,26.965,0,-22.309
24,26.965,0,-22.345
25,26.965,0,-22.382
26,26.982,0,-22.473
27,26.965,0,-22.455
28,26.965,0,-22.491
29,26.965,0,-22.509
30,26.965,0,-22.527
31,26.965,0,-22.545
32,26.947,0,-22.564
33,26.947,0,-22.6
34,26.947,0,-22.609
35,26.947,0,-22.618
36,26.947,0,-22.655
37,26.947,0,-22.691
38,26.947,0,-22.709
39,26.947,0,-22.727
40,26.982,0,-22.764
41,26.982,0,-22.8
42,27.018,0,-22.836
43,27.018,0,-22.873
44,27.053,0,-22.909
45,27.053,0,-22.945
46,27.088,0,-22.982
47,27.088,0,-23.018
48,27.123,0,-23.055
49,27.123,0,-23.091
50,27.158,0,-23.127
51,27.158,0,-23.164
52,27.193,0,-23.2
53,27.193,0,-23.236
54,27.228,0,-23.273
55,27.246,0,-23.273
56,27.263,0,-23.273
57,27.298,0,-23.273
58,27.333,0,-23.309
59,27.368,0,-23.309
60,27.404,0,-23.309
61,27.439,0,-23.345
62,27.474,0,-23.345
63,27.509,0,-23.345
64,27.544,0,-23.382
65,27.579,0,-23.382
66,27.614,0,-23.382
67,27.649,0,-23.418
68,27.684,0,-23.418
69,27.719,0,-23.418
70,27.754,0,-23.455
71,27.789,0,-23.455
72,27.825,0,-23.455
73,27.86,0,-23.491
74,27.895,0,-23.491
75,27.93,0,-23.491
76,27.965,0,-23.527
77,28,0,-23.527
78,28.035,0,-23.527
79,28.07,0,-23.564
80,28.07,0,-23.527
81,28.105,0,-23.527
82,28.14,0,-23.527
83,28.175,0,-23.491
84,28.211,0,-23.491
85,28.228,0,-23.491
86,28.246,0,-23.491
87,28.281,0,-23.455
88,28.316,0,-23.455
89,28.351,0,-23.455
90,28.368,0,-23.436
91,28.386,0,-23.418
92,28.421,0,-23.418
93,28.456,0,-23.418
94,28.491,0,-23.418
95,28.491,0,-23.382
96,28.526,0,-23.382
97,28.561,0,-23.382
98,28.596,0,-23.345
99,28.632,0,-23.345
100,28.649,0,-23.345
101,28.667,0,-23.345
102,28.702,0,-23.309
103,28.737,0,-23.309
104,28.772,0,-23.309
105,28.789,0,-23.291
106,28.807,0,-23.273
107,28.842,0,-23.273
108,28.877,0,-23.273
109,28.912,0,-23.273
110,28.912,0,-23.236
111,28.947,0,-23.236
112,28.982,0,-23.236
113,29.018,0,-23.2
114,29.053,0,-23.2
115,29.07,0,-23.2
116,29.088,0,-23.2
117,29.123,0,-23.164
118,29.158,0,-23.164
119,29.193,0,-23.164
120,29.211,0,-23.145
121,29.228,0,-23.127
122,29.263,0,-23.127
123,29.298,0,-23.127
124,29.333,0,-23.127
125,29.333,0,-23.091
126,29.368,0,-23.091
127,29.404,0,-23.091
128,29.439,0,-23.055
129,29.474,0,-23.055
130,29.491,0,-23.055
131,29.509,0,-23.055
132,29.544,0,-23.018
133,29.579,0,-23.018
134,29.614,0,-23.018
135,29.632,0,-23
136,29.649,0,-22.982
137,29.684,0,-22.982
138,29.719,0,-22.982
139,29.754,0,-22.982
140,29.754,0,-22.945
141,29.789,0,-22.945
142,29.825,0,-22.945
143,29.86,0,-22.909
144,29.895,0,-22.909
145,29.912,0,-22.909
146,29.93,0,-22.909
147,29.965,0,-22.873
148,30,0,-22.873
149,30.035,0,-22.873
150,30.053,0,-22.855
151,30.07,0,-22.836
152,30.105,0,-22.836
153,30.14,0,-22.836
154,30.175,0,-22.836
155,30.193,0,-22.836
156,30.211,0,-22.836
157,30.228,0,-22.836
158,30.246,0,-22.836
159,30.263,0,-22.836
160,30.281,0,-22.836
161,30.298,0,-22.855
162,30.316,0,-22.873
163,30.333,0,-22.873
164,30.351,0,-22.873
165,30.386,0,-22.873
166,30.404,0,-22.873
167,30.421,0,-22.873
168,30.439,0,-22.891
169,30.456,0,-22.909
170,30.474,0,-22.909
171,30.491,0,-22.909
172,30.509,0,-22.909
173,30.526,0,-22.909
174,30.561,0,-22.909
175,30.579,0,-22.927
176,30.596,0,-22.945
177,30.614,0,-22.945
178,30.632,0,-22.945
179,30.649,0,-22.945
180,30.667,0,-22.945
181,30.684,0,-22.945
182,30.702,0,-22.945
183,30.737,0,-22.982
184,30.737,0,-22.945
185,30.737,0,-22.927
186,30.737,0,-22.909
187,30.737,0,-22.897
188,30.737,0,-22.885
189,30.737,0,-22.873
190,30.737,0,-22.855
191,30.737,0,-22.836
192,30.737,0,-22.824
193,30.737,0,-22.812
194,30.737,0,-22.8
195,30.737,0,-22.782
196,30.737,0,-22.764
197,30.746,0,-22.764
198,30.754,0,-22.764
199,30.754,0,-22.727
200,30.754,0,-22.709
201,30.754,0,-22.691
202,30.754,0,-22.679
203,30.754,0,-22.667
204,30.754,0,-22.655
205,30.754,0,-22.636
206,30.754,0,-22.618
207,30.754,0,-22.606
208,30.754,0,-22.594
209,30.754,0,-22.582
210,30.754,0,-22.564
211,30.754,0,-22.545
212,30.763,0,-22.545
213,30.772,0,-22.545
214,30.737,0,-22.509
215,30.737,0,-22.473
216,30.737,0,-22.436
217,30.702,0,-22.436
218,30.702,0,-22.4
219,30.702,0,-22.364
220,30.667,0,-22.364
221,30.667,0,-22.327
222,30.667,0,-22.291
223,30.632,0,-22.255
224,30.632,0,-22.236
225,30.632,0,-22.218
226,30.614,0,-22.182
227,30.614,0,-22.164
228,30.614,0,-22.145
229,30.579,0,-22.109
230,30.579,0,-22.073
231,30.579,0,-22.055
232,30.579,0,-22.036
233,30.544,0,-22
234,30.544,0,-21.982
235,30.544,0,-21.964
236,30.509,0,-21.927
237,30.509,0,-21.891
238,30.5,0,-21.873
239,30.491,0,-21.855
240,30.491,0,-21.818
241,30.474,0,-21.8
242,30.456,0,-21.782
243,30.456,0,-21.745
244,30.456,0,-21.709
245,30.421,0,-21.709
246,30.421,0,-21.673
247,30.421,0,-21.636
248,30.386,0,-21.636
249,30.386,0,-21.6
250,30.386,0,-21.564
251,30.404,0,-21.564
252,30.368,0,-21.527
253,30.368,0,-21.491
254,30.368,0,-21.455
255,30.333,0,-21.455
256,30.333,0,-21.418
