frame,x,y,z
1,43.207,0.115,-10.004
2,43.077,0.115,-9.993
3,42.947,0.115,-9.982
4,42.818,0.115,-9.971
5,42.688,0.115,-9.96
6,42.558,0.115,-9.949
7,42.428,0.115,-9.938
8,42.298,0.115,-9.927
9,42.171,0.115,-9.914
10,42.044,0.115,-9.9
11,41.917,0.115,-9.886
12,41.789,0.115,-9.873
13,41.662,0.115,-9.859
14,41.535,0.115,-9.845
15,41.408,0.115,-9.832
16,41.281,0.115,-9.818
17,41.035,0.115,-9.836
18,40.789,0.115,-9.855
19,40.544,0.115,-9.873
20,40.298,0.115,-9.891
21,40.053,0.115,-9.909
22,39.807,0.115,-9.927
23,39.522,0.115,-9.952
24,39.238,0.115,-9.976
25,38.953,0.115,-10
26,38.669,0.115,-10.024
27,38.384,0.115,-10.048
28,38.099,0.115,-10.073
29,37.815,0.115,-10.097
30,37.53,0.115,-10.121
31,37.246,0.115,-10.145
32,37.006,0.115,-10.158
33,36.766,0.115,-10.17
34,36.526,0.115,-10.182
35,36.287,0.115,-10.194
36,36.047,0.115,-10.206
37,35.807,0.115,-10.218
38,35.582,0.115,-10.233
39,35.358,0.115,-10.247
40,35.133,0.115,-10.262
41,34.909,0.115,-10.276
42,34.684,0.115,-10.291
43,34.47,0.115,-10.302
44,34.256,0.115,-10.313
45,34.042,0.115,-10.324
46,33.828,0.115,-10.335
47,33.614,0.115,-10.345
48,33.4,0.115,-10.356
49,33.186,0.115,-10.367
50,32.972,0.115,-10.378
51,32.758,0.115,-10.389
52,32.544,0.115,-10.4
53,32.341,0.115,-10.406
54,32.139,0.115,-10.411
55,31.937,0.115,-10.417
56,31.734,0.115,-10.422
57,31.532,0.115,-10.428
58,31.329,0.115,-10.434
59,31.127,0.115,-10.439
60,30.924,0.115,-10.445
61,30.722,0.115,-10.45
62,30.52,0.115,-10.456
63,30.317,0.115,-10.462
64,30.115,0.115,-10.467
65,29.912,0.115,-10.473
66,29.725,0.115,-10.477
67,29.538,0.115,-10.481
68,29.351,0.115,-10.485
69,29.164,0.115,-10.489
70,28.977,0.115,-10.493
71,28.789,0.115,-10.497
72,28.602,0.115,-10.501
73,28.415,0.115,-10.505
74,28.228,0.115,-10.509
75,28.041,0.115,-10.509
76,27.854,0.115,-10.509
77,27.667,0.115,-10.509
78,27.674,0.115,-10.444
79,27.681,0.115,-10.378
80,27.688,0.115,-10.313
81,27.695,0.115,-10.247
82,27.702,0.115,-10.182
83,27.724,0.115,-10.118
84,27.746,0.115,-10.055
85,27.768,0.115,-9.991
86,27.789,0.115,-9.927
87,27.811,0.115,-9.864
88,27.833,0.115,-9.8
89,27.855,0.115,-9.736
90,27.877,0.115,-9.673
91,27.898,0.115,-9.618
92,27.919,0.115,-9.564
93,27.94,0.115,-9.509
94,27.961,0.115,-9.455
95,27.982,0.115,-9.4
96,28.004,0.115,-9.345
97,28.025,0.115,-9.291
98,28.046,0.115,-9.236
99,28.067,0.115,-9.182
100,28.088,0.115,-9.127
101,28.109,0.115,-9.073
102,28.13,0.115,-9.018
103,28.151,0.115,-8.964
104,28.172,0.115,-8.909
105,28.193,0.115,-8.855
106,28.214,0.115,-8.8
107,28.235,0.115,-8.745
108,28.256,0.115,-8.691
109,28.277,0.115,-8.636
110,28.298,0.115,-8.582
111,28.323,0.115,-8.53
112,28.348,0.115,-8.478
113,28.373,0.115,-8.426
114,28.398,0.115,-8.374
115,28.424,0.115,-8.322
116,28.449,0.115,-8.27
117,28.474,0.115,-8.218
118,28.499,0.115,-8.166
119,28.524,0.115,-8.114
120,28.549,0.115,-8.062
121,28.574,0.115,-8.01
122,28.599,0.115,-7.958
123,28.624,0.115,-7.906
124,28.649,0.115,-7.855
125,28.807,0.115,-7.759
126,28.965,0.115,-7.664
127,29.123,0.115,-7.568
128,29.281,0.115,-7.473
129,29.439,0.115,-7.377
130,29.596,0.115,-7.282
131,29.754,0.115,-7.186
132,29.912,0.115,-7.091
133,30.026,0.115,-7.018
134,30.14,0.115,-6.945
135,30.254,0.115,-6.873
136,30.368,0.115,-6.8
137,30.482,0.115,-6.727
138,30.596,0.115,-6.655
139,30.711,0.115,-6.582
140,30.825,0.115,-6.509
141,30.918,0.115,-6.443
142,31.011,0.115,-6.376
143,31.104,0.115,-6.31
144,31.197,0.115,-6.243
145,31.29,0.115,-6.177
146,31.383,0.115,-6.111
147,31.476,0.115,-6.044
148,31.569,0.115,-5.978
149,31.662,0.115,-5.911
150,31.755,0.115,-5.845
151,31.848,0.115,-5.779
152,31.941,0.115,-5.712
153,32.034,0.115,-5.646
154,32.127,0.115,-5.579
155,32.22,0.115,-5.513
156,32.314,0.115,-5.447
157,32.407,0.115,-5.38
158,32.5,0.115,-5.314
159,32.593,0.115,-5.247
160,32.686,0.115,-5.181
161,32.779,0.115,-5.115
162,32.872,0.115,-5.048
163,32.965,0.115,-4.982
164,33.053,0.115,-4.936
165,33.14,0.115,-4.891
166,33.228,0.115,-4.845
167,33.316,0.115,-4.8
168,33.854,0.115,-4.909
169,34.392,0.115,-5.018
170,34.93,0.115,-5.127
171,35.626,0.115,-5.364
172,36.322,0.115,-5.6
173,37.018,0.115,-5.836
174,37.713,0.115,-6.073
175,38.409,0.115,-6.309
176,39.105,0.115,-6.545
177,39.747,0.115,-6.842
178,40.388,0.115,-7.138
179,41.03,0.115,-7.434
180,41.672,0.115,-7.73
181,42.313,0.115,-8.026
182,42.955,0.115,-8.322
183,43.596,0.115,-8.618
184,43.351,0.115,-8.691
185,43.105,0.115,-8.764
186,42.86,0.115,-8.836
187,42.614,0.115,-8.909
188,42.246,0.115,-8.945
189,41.877,0.115,-8.982
190,41.509,0.115,-9.018
191,41.14,0.115,-9.055
192,40.825,0.115,-9.122
193,40.509,0.115,-9.19
194,40.193,0.115,-9.257
195,39.877,0.115,-9.325
196,39.561,0.115,-9.392
197,39.246,0.115,-9.46
198,38.93,0.115,-9.527
199,38.649,0.115,-9.605
200,38.368,0.115,-9.682
201,38.088,0.115,-9.759
202,37.807,0.115,-9.836
203,37.526,0.115,-9.914
204,37.246,0.115,-9.991
205,36.965,0.115,-10.068
206,36.684,0.115,-10.145
207,36.45,0.115,-10.248
208,36.216,0.115,-10.352
209,35.982,0.115,-10.455
210,35.749,0.115,-10.558
211,35.515,0.115,-10.661
212,35.281,0.115,-10.764
213,35.085,0.115,-10.894
214,34.89,0.115,-11.023
215,34.694,0.115,-11.153
216,34.499,0.115,-11.283
217,34.303,0.115,-11.413
218,34.108,0.115,-11.543
219,33.912,0.115,-11.673
220,33.744,0.115,-11.811
221,33.575,0.115,-11.949
222,33.407,0.115,-12.087
223,33.239,0.115,-12.225
224,33.07,0.115,-12.364
225,32.924,0.115,-12.521
226,32.778,0.115,-12.679
227,32.632,0.115,-12.836
228,32.485,0.115,-12.994
229,32.339,0.115,-13.152
230,32.193,0.115,-13.309
231,32.074,0.115,-13.484
232,31.954,0.115,-13.658
233,31.835,0.115,-13.833
234,31.716,0.115,-14.007
235,31.596,0.115,-14.182
236,31.505,0.115,-14.349
237,31.414,0.115,-14.516
238,31.323,0.115,-14.684
239,31.232,0.115,-14.851
240,31.14,0.115,-15.018
241,31.07,0.115,-15.191
242,31,0.115,-15.364
243,30.93,0.115,-15.536
244,30.86,0.115,-15.709
245,30.801,0.115,-15.903
246,30.743,0.115,-16.097
247,30.684,0.115,-16.291
248,30.637,0.115,-16.485
249,30.591,0.115,-16.679
250,30.544,0.115,-16.873
251,30.509,0.115,-17.055
252,30.474,0.115,-17.236
253,30.462,0.115,-17.358
254,30.45,0.115,-17.479
255,30.439,0.115,-17.6
256,30.747,0.115,-17.775
257,31.056,0.115,-17.949
258,31.365,0.115,-18.124
259,31.674,0.115,-18.298
260,31.982,0.115,-18.473
261,32.223,0.115,-18.644
262,32.464,0.115,-18.816
263,32.704,0.115,-18.987
264,32.945,0.115,-19.158
265,33.185,0.115,-19.33
266,33.426,0.115,-19.501
267,33.667,0.115,-19.673
268,33.927,0.115,-19.849
269,34.188,0.115,-20.026
270,34.449,0.115,-20.203
271,34.709,0.115,-20.379
272,34.97,0.115,-20.556
273,35.231,0.115,-20.732
274,35.491,0.115,-20.909
