frame,x,y,z
1,72.07,0,-18.582
2,71.912,0,-18.436
3,72.053,0,-18.582
4,72.14,0,-18.745
5,72.281,0,-18.891
6,72.368,0,-19.055
7,72.509,0,-19.2
8,72.649,0,-19.4
9,72.737,0,-19.545
10,72.877,0,-19.691
11,72.965,0,-19.855
12,73.105,0,-20
13,73.193,0,-20.164
14,73.333,0,-20.309
15,73.474,0,-20.509
16,73.561,0,-20.691
17,73.667,0,-20.909
18,73.754,0,-21.145
19,73.86,0,-21.364
20,74,0,-21.6
21,74.105,0,-21.818
22,74.263,0,-22.036
23,74.368,0,-22.255
24,74.526,0,-22.473
25,74.632,0,-22.655
26,74.789,0,-22.855
27,74.93,0,-23.036
28,75.088,0,-23.236
29,75.228,0,-23.418
30,75.386,0,-23.618
31,75.491,0,-23.8
32,75.649,0,-24
33,75.789,0,-24.182
34,75.947,0,-24.382
35,76.088,0,-24.564
36,76.246,0,-24.764
37,76.316,0,-24.927
38,76.439,0,-25.127
39,76.544,0,-25.327
40,76.667,0,-25.491
41,76.772,0,-25.691
42,76.895,0,-25.891
43,77.018,0,-26.109
44,77.175,0,-26.255
45,77.333,0,-26.436
46,77.491,0,-26.636
47,77.649,0,-26.818
48,77.86,0,-27.018
49,77.947,0,-27.145
50,78.07,0,-27.291
51,78.158,0,-27.418
52,78.281,0,-27.564
53,78.368,0,-27.727
54,78.491,0,-27.891
55,78.579,0,-28.109
56,78.702,0,-28.273
57,78.789,0,-28.436
58,78.912,0,-28.655
59,79,0,-28.818
60,79.123,0,-28.982
61,79.263,0,-29.2
62,79.368,0,-29.309
63,79.474,0,-29.455
64,79.579,0,-29.618
65,79.684,0,-29.764
66,79.825,0,-29.927
67,79.877,0,-30.145
68,79.947,0,-30.364
69,80.053,0,-30.582
70,80.123,0,-30.8
71,80.228,0,-31.018
72,80.298,0,-31.236
73,80.404,0,-31.473
74,80.456,0,-31.691
75,80.526,0,-31.909
76,80.632,0,-32.127
77,80.702,0,-32.345
78,80.807,0,-32.564
79,80.877,0,-32.782
80,80.982,0,-33.018
81,81.088,0,-33.218
82,81.193,0,-33.436
83,81.298,0,-33.636
84,81.404,0,-33.855
85,81.386,0,-34.109
86,81.368,0,-34.364
87,81.351,0,-34.618
88,81.333,0,-34.873
89,81.316,0,-35.127
90,81.298,0,-35.382
91,81.316,0,-35.564
92,81.368,0,-35.745
93,81.421,0,-35.927
94,81.474,0,-36.145
95,81.491,0,-36.327
96,81.544,0,-36.509
97,81.596,0,-36.691
98,81.649,0,-36.909
99,81.667,0,-37.055
100,81.719,0,-37.255
101,81.772,0,-37.455
102,81.789,0,-37.655
103,81.842,0,-37.836
104,81.895,0,-38.036
105,81.912,0,-38.236
106,81.965,0,-38.4
107,82.018,0,-38.6
108,82.035,0,-38.8
109,82.088,0,-38.982
110,82.14,0,-39.182
111,82.158,0,-39.382
112,82.211,0,-39.582
113,82.281,0,-39.782
114,82.351,0,-39.927
115,82.421,0,-40.073
116,82.544,0,-40.218
117,82.614,0,-40.364
118,82.737,0,-40.527
119,82.807,0,-40.673
120,82.877,0,-40.818
121,83,0,-40.964
122,83.07,0,-41.109
123,83.193,0,-41.273
124,83.316,0,-41.364
125,83.491,0,-41.455
126,83.614,0,-41.564
127,83.789,0,-41.655
128,83.912,0,-41.745
129,84.088,0,-41.855
130,84.211,0,-41.945
131,84.386,0,-42.036
132,84.509,0,-42.145
133,84.684,0,-42.236
134,84.807,0,-42.327
135,84.982,0,-42.436
136,85.123,0,-42.473
137,85.298,0,-42.509
138,85.456,0,-42.545
139,85.632,0,-42.618
140,85.807,0,-42.655
141,85.965,0,-42.691
142,86.14,0,-42.727
143,86.333,0,-42.8
144,86.474,0,-42.836
145,86.649,0,-42.873
146,86.807,0,-42.909
147,86.982,0,-42.982
148,87.158,0,-43.018
149,87.316,0,-43.055
150,87.491,0,-43.091
151,87.684,0,-43.164
152,87.842,0,-43.164
153,88.018,0,-43.164
154,88.193,0,-43.164
155,88.351,0,-43.164
156,88.526,0,-43.164
157,88.737,0,-43.164
158,88.912,0,-43.164
159,89.07,0,-43.164
160,89.246,0,-43.164
161,89.421,0,-43.164
162,89.632,0,-43.164
163,89.789,0,-43.164
164,89.965,0,-43.164
165,90.14,0,-43.164
166,90.298,0,-43.164
167,90.474,0,-43.164
168,90.684,0,-43.164
169,90.86,0,-43.164
170,91.018,0,-43.164
171,91.193,0,-43.164
172,91.368,0,-43.164
173,91.579,0,-43.164
174,91.754,0,-43.109
175,91.93,0,-43.073
