frame,x,y,z,rot
1,66.351,0,-28.855,120
2,66.386,0,-28.873,120
3,66.386,0,-28.855,120
4,66.421,0,-28.855,120
5,66.439,0,-28.873,120
6,66.456,0,-28.891,120
7,66.474,0,-28.891,120
8,66.491,0,-28.891,120
9,66.509,0,-28.909,120
10,66.526,0,-28.927,120
11,66.544,0,-28.927,120
12,66.561,0,-28.927,120
13,66.614,0,-28.964,120
14,66.614,0,-28.945,120
15,66.649,0,-28.945,120
16,66.667,0,-28.964,120
17,66.684,0,-28.982,120
18,66.702,0,-28.982,120
19,66.719,0,-28.982,120
20,66.737,0,-29,120
21,66.754,0,-29.018,120
22,66.772,0,-29.018,120
23,66.789,0,-29.018,120
24,66.842,0,-29.055,120
25,66.825,0,-29.055,120
26,66.842,0,-29.055,120
27,66.86,0,-29.055,120
28,66.877,0,-29.055,120
29,66.895,0,-29.055,120
30,66.904,0,-29.055,120
31,66.912,0,-29.055,105
32,66.93,0,-29.055,105
33,66.947,0,-29.055,105
34,66.965,0,-29.055,105
35,66.982,0,-29.055,105
36,67,0,-29.055,105
37,67.018,0,-29.055,105
38,67.026,0,-29.055,105
39,67.035,0,-29.055,105
40,67.07,0,-29.091,105
41,67.088,0,-29.091,105
42,67.14,0,-29.127,105
43,67.149,0,-29.127,105
44,67.158,0,-29.127,105
45,67.193,0,-29.164,105
46,67.211,0,-29.164,105
47,67.263,0,-29.2,105
48,67.298,0,-29.2,105
49,67.333,0,-29.236,105
50,67.421,0,-29.236,105
51,67.456,0,-29.273,105
52,67.544,0,-29.327,105
53,67.579,0,-29.327,105
54,67.614,0,-29.364,105
55,67.702,0,-29.364,105
56,67.737,0,-29.4,105
57,67.825,0,-29.455,105
58,67.895,0,-29.473,105
59,67.965,0,-29.509,105
60,68.07,0,-29.545,105
61,68.14,0,-29.582,125
62,68.246,0,-29.655,125
63,68.316,0,-29.691,125
64,68.421,0,-29.727,125
65,68.491,0,-29.764,125
66,68.596,0,-29.836,125
67,68.667,0,-29.855,125
68,68.737,0,-29.891,125
69,68.842,0,-29.927,125
70,68.912,0,-29.964,125
71,69.018,0,-30.036,125
72,69.088,0,-30.073,125
73,69.193,0,-30.109,125
74,69.263,0,-30.145,125
75,69.368,0,-30.218,125
76,69.421,0,-30.255,125
77,69.526,0,-30.327,125
78,69.596,0,-30.364,125
79,69.702,0,-30.436,125
80,69.772,0,-30.473,125
81,69.877,0,-30.545,125
82,69.982,0,-30.582,125
83,70.053,0,-30.655,125
84,70.158,0,-30.691,125
85,70.228,0,-30.764,125
86,70.316,0,-30.818,125
87,70.386,0,-30.891,125
88,70.491,0,-30.927,125
89,70.596,0,-31,125
90,70.667,0,-31.036,125
91,70.772,0,-31.109,135
92,70.842,0,-31.145,135
93,70.947,0,-31.218,135
94,71.018,0,-31.255,135
95,71.123,0,-31.327,135
96,71.228,0,-31.418,135
97,71.298,0,-31.473,135
98,71.404,0,-31.527,135
99,71.509,0,-31.582,135
100,71.596,0,-31.636,135
101,71.719,0,-31.745,135
102,71.737,0,-31.818,135
103,71.772,0,-31.927,135
104,71.789,0,-32,135
105,71.825,0,-32.109,135
106,71.825,0,-32.127,135
107,71.86,0,-32.182,135
108,71.86,0,-32.2,135
109,71.895,0,-32.255,135
110,71.895,0,-32.273,135
111,71.93,0,-32.327,135
112,71.93,0,-32.345,135
113,71.965,0,-32.4,135
114,71.956,0,-32.409,135
115,71.947,0,-32.418,135
116,72,0,-32.436,135
117,71.991,0,-32.445,135
118,71.982,0,-32.455,135
119,72.035,0,-32.473,135
120,72.035,0,-32.418,135
121,72.07,0,-32.4,90
122,72.105,0,-32.382,90
123,72.158,0,-32.364,90
124,72.193,0,-32.345,90
125,72.228,0,-32.327,90
126,72.281,0,-32.327,90
127,72.298,0,-32.2,90
128,72.333,0,-32.127,90
129,72.386,0,-32.018,90
130,72.421,0,-31.945,90
131,72.439,0,-31.818,90
132,72.509,0,-31.745,90
133,72.526,0,-31.636,90
134,72.561,0,-31.564,90
135,72.632,0,-31.491,90
136,72.667,0,-31.327,90
137,72.737,0,-31.218,90
138,72.807,0,-31.091,90
139,72.877,0,-30.982,90
140,72.947,0,-30.873,90
141,73,0,-30.745,90
142,73.07,0,-30.636,90
143,73.14,0,-30.527,90
144,73.211,0,-30.4,90
145,73.281,0,-30.291,90
146,73.368,0,-30.182,90
147,73.421,0,-30.055,90
148,73.509,0,-29.945,90
149,73.561,0,-29.818,90
150,73.649,0,-29.709,90
151,73.702,0,-29.509,45
152,73.772,0,-29.364,45
153,73.86,0,-29.218,45
154,73.93,0,-29.055,45
155,74.035,0,-28.909,45
156,74.088,0,-28.764,45
157,74.158,0,-28.618,45
158,74.246,0,-28.418,45
159,74.316,0,-28.273,45
160,74.421,0,-28.127,45
161,74.474,0,-27.982,45
162,74.544,0,-27.818,45
163,74.632,0,-27.673,45
164,74.702,0,-27.527,45
165,74.807,0,-27.382,45
166,74.877,0,-27.182,45
167,74.982,0,-27.018,45
168,75.088,0,-26.855,45
169,75.158,0,-26.691,45
170,75.263,0,-26.527,45
171,75.368,0,-26.382,45
172,75.439,0,-26.218,45
173,75.544,0,-26.055,45
174,75.667,0,-25.855,45
175,75.772,0,-25.691,45
176,75.842,0,-25.527,45
177,75.947,0,-25.382,45
178,76.053,0,-25.218,45
179,76.123,0,-25.055,45
180,76.228,0,-24.891,45
181,76.333,0,-24.727,45
182,76.456,0,-24.582,45
183,76.491,0,-24.4,45
184,76.526,0,-24.273,45
185,76.561,0,-24.091,45
186,76.649,0,-23.964,45
187,76.684,0,-23.782,45
188,76.719,0,-23.655,45
189,76.754,0,-23.473,45
190,76.842,0,-23.345,45
191,76.877,0,-23.164,45
192,76.912,0,-23.018,45
193,76.965,0,-22.891,45
194,77,0,-22.745,45
195,77.053,0,-22.582,45
196,77.088,0,-22.436,45
197,77.14,0,-22.309,45
198,77.175,0,-22.164,45
199,77.263,0,-22.036,45
200,77.333,0,-21.964,45
201,77.421,0,-21.909,45
202,77.509,0,-21.855,45
203,77.596,0,-21.8,45
204,77.684,0,-21.745,45
205,77.772,0,-21.691,45
206,77.86,0,-21.673,45
207,77.965,0,-21.636,45
208,78.088,0,-21.6,45
209,78.211,0,-21.582,45
210,78.316,0,-21.545,45
211,78.439,0,-21.509,135
212,78.596,0,-21.491,135
213,78.719,0,-21.455,135
214,78.825,0,-21.418,135
215,78.947,0,-21.4,135
216,79.07,0,-21.364,135
217,79.228,0,-21.382,135
218,79.298,0,-21.382,135
219,79.404,0,-21.418,135
220,79.509,0,-21.455,135
221,79.614,0,-21.491,135
222,79.719,0,-21.527,135
223,79.825,0,-21.564,135
224,79.93,0,-21.6,135
225,80.035,0,-21.636,135
226,80.14,0,-21.673,135
227,80.211,0,-21.745,135
228,80.316,0,-21.818,135
229,80.386,0,-21.891,135
230,80.509,0,-21.964,135
231,80.579,0,-22.036,135
232,80.684,0,-22.109,135
233,80.807,0,-22.182,135
234,80.842,0,-22.255,135
235,80.877,0,-22.327,135
236,80.912,0,-22.4,135
237,80.965,0,-22.491,135
238,81,0,-22.564,135
239,81.035,0,-22.636,135
240,81.123,0,-22.727,135
241,81.14,0,-22.818,170
242,81.175,0,-22.964,170
243,81.193,0,-23.073,170
244,81.263,0,-23.218,170
245,81.281,0,-23.309,170
246,81.316,0,-23.455,170
247,81.333,0,-23.564,170
248,81.404,0,-23.709,170
249,81.404,0,-23.8,170
250,81.404,0,-23.891,170
251,81.439,0,-24.018,170
252,81.439,0,-24.109,170
253,81.474,0,-24.255,170
254,81.439,0,-24.345,170
255,81.439,0,-24.491,170
256,81.439,0,-24.6,170
257,81.439,0,-24.745,170
258,81.404,0,-24.855,170
259,81.404,0,-25,170
260,81.404,0,-25.109,170
261,81.404,0,-25.255,170
262,81.386,0,-25.345,170
263,81.386,0,-25.491,170
264,81.386,0,-25.6,170
265,81.386,0,-25.745,170
266,81.351,0,-25.855,170
267,81.351,0,-26,170
268,81.351,0,-26.109,170
269,81.351,0,-26.255,170
270,81.368,0,-26.4,170
271,81.368,0,-26.364,170
272,81.333,0,-26.436,170
273,81.298,0,-26.564,170
274,81.298,0,-26.691,170
275,81.281,0,-26.782,170
276,81.281,0,-26.909,170
277,81.246,0,-27.036,170
278,81.263,0,-27.164,170
279,81.228,0,-27.236,170
280,81.193,0,-27.364,170
281,81.158,0,-27.491,170
282,81.123,0,-27.564,170
283,81.088,0,-27.691,170
284,81.053,0,-27.818,170
285,81.018,0,-27.945,170
286,80.982,0,-28.018,170
287,80.947,0,-28.145,170
288,80.912,0,-28.273,170
