frame ,x,y,z,rot
1,71.123,0,-23.509,
2,71.088,0,-23.473,
3,71.053,0,-23.436,
4,71.018,0,-23.4,
5,70.982,0,-23.364,
6,70.947,0,-23.327,
7,70.912,0,-23.291,
8,70.877,0,-23.255,
9,70.86,0,-23.255,
10,70.789,0,-23.2,
11,70.754,0,-23.164,
12,70.719,0,-23.127,
13,70.684,0,-23.091,
14,70.649,0,-23.055,
15,70.614,0,-23.018,
16,70.579,0,-22.982,
17,70.544,0,-22.945,
18,70.509,0,-22.909,
19,70.491,0,-22.909,
20,70.421,0,-22.873,
21,70.386,0,-22.836,
22,70.351,0,-22.836,
23,70.281,0,-22.8,
24,70.263,0,-22.8,
25,70.228,0,-22.764,
26,70.158,0,-22.764,
27,70.123,0,-22.727,
28,70.105,0,-22.727,
29,70.035,0,-22.691,
30,70,0,-22.655,
31,69.965,0,-22.655,
32,69.895,0,-22.618,
33,69.877,0,-22.618,
34,69.842,0,-22.582,
35,69.772,0,-22.582,
36,69.737,0,-22.545,
37,69.719,0,-22.545,
38,69.649,0,-22.509,
39,69.614,0,-22.473,
40,69.579,0,-22.436,
41,69.509,0,-22.4,
42,69.474,0,-22.4,
43,69.439,0,-22.364,
44,69.368,0,-22.327,
45,69.351,0,-22.291,
46,69.316,0,-22.255,
47,69.246,0,-22.255,
48,69.211,0,-22.218,
49,69.175,0,-22.182,
50,69.105,0,-22.145,
51,69.07,0,-22.109,
52,69.053,0,-22.109,
53,69,0,-22.073,
54,68.947,0,-22.073,
55,68.895,0,-22.055,
56,68.86,0,-22.055,
57,68.807,0,-22.055,
58,68.754,0,-22.036,
59,68.702,0,-22.036,
60,68.667,0,-22.036,
61,68.614,0,-22.018,
62,68.561,0,-22.018,
63,68.561,0,-22.036,
64,68.491,0,-21.982,
65,68.456,0,-21.964,
66,68.386,0,-21.927,
67,68.351,0,-21.909,
68,68.281,0,-21.909,
69,68.246,0,-21.855,
70,68.175,0,-21.855,
71,68.14,0,-21.836,
72,68.07,0,-21.8,
73,68.035,0,-21.782,
74,68,0,-21.782,
75,67.93,0,-21.782,
76,67.877,0,-21.782,
77,67.825,0,-21.782,
78,67.754,0,-21.782,
79,67.702,0,-21.782,
80,67.649,0,-21.782,
81,67.632,0,-21.818,
82,67.561,0,-21.818,
83,67.509,0,-21.818,
84,67.456,0,-21.818,
85,67.386,0,-21.818,
86,67.333,0,-21.818,
87,67.281,0,-21.818,
88,67.263,0,-21.855,
89,67.158,0,-21.855,
90,67.088,0,-21.855,
91,66.982,0,-21.891,
92,66.912,0,-21.891,
93,66.807,0,-21.927,
94,66.737,0,-21.927,
95,66.632,0,-21.964,
96,66.561,0,-21.964,
97,66.456,0,-22,
98,66.386,0,-22,
99,66.281,0,-22.036,
100,66.211,0,-22.036,
101,66.14,0,-22.073,
102,66,0,-22.073,
103,65.895,0,-22.073,
104,65.789,0,-22.073,
105,65.684,0,-22.073,
106,65.579,0,-22.073,
107,65.474,0,-22.127,
108,65.368,0,-22.127,
109,65.263,0,-22.127,
110,65.158,0,-22.127,
111,65.053,0,-22.127,
112,64.947,0,-22.127,
113,64.86,0,-22.182,
114,64.719,0,-22.182,
115,64.614,0,-22.182,
116,64.509,0,-22.182,
117,64.404,0,-22.182,
118,64.298,0,-22.182,
119,64.193,0,-22.236,
120,64.088,0,-22.236,
121,63.982,0,-22.236,
122,63.877,0,-22.236,
123,63.772,0,-22.236,
124,63.667,0,-22.236,
125,63.579,0,-22.291,
126,63.456,0,-22.255,
127,63.351,0,-22.255,
128,63.228,0,-22.255,
129,63.158,0,-22.255,
130,63.053,0,-22.255,
131,62.93,0,-22.255,
132,62.825,0,-22.255,
133,62.754,0,-22.273,
134,62.632,0,-22.236,
135,62.526,0,-22.236,
136,62.404,0,-22.236,
137,62.333,0,-22.236,
138,62.228,0,-22.236,
139,62.105,0,-22.236,
