frame,x,y,z
1,64.07,1,-19.055
2,64.053,1,-19.055
3,64.088,1,-19.055
4,64.096,1,-19.055
5,64.105,1,-19.055
6,64.123,1,-19.055
7,64.14,1,-19.055
8,64.149,1,-19.055
9,64.158,1,-19.055
10,64.175,1,-19.055
11,64.193,1,-19.055
12,64.202,1,-19.082
13,64.211,1,-19.109
14,64.228,1,-19.109
15,64.246,1,-19.109
16,64.254,1,-19.109
17,64.263,1,-19.109
18,64.281,1,-19.109
19,64.298,1,-19.109
20,64.307,1,-19.109
21,64.316,1,-19.109
22,64.333,1,-19.109
23,64.351,1,-19.109
24,64.386,1,-19.164
25,64.404,1,-19.164
26,64.421,1,-19.164
27,64.456,1,-19.2
28,64.491,1,-19.2
29,64.509,1,-19.218
30,64.526,1,-19.236
31,64.561,1,-19.236
32,64.596,1,-19.273
33,64.614,1,-19.273
34,64.632,1,-19.273
35,64.667,1,-19.309
36,64.702,1,-19.309
37,64.719,1,-19.327
38,64.737,1,-19.345
39,64.772,1,-19.345
40,64.807,1,-19.382
41,64.807,1,-19.364
42,64.807,1,-19.4
43,64.842,1,-19.436
44,64.842,1,-19.455
45,64.842,1,-19.473
46,64.895,1,-19.491
47,64.912,1,-19.509
48,64.93,1,-19.527
49,64.93,1,-19.564
50,64.956,1,-19.573
51,64.982,1,-19.582
52,64.982,1,-19.618
53,65,1,-19.636
54,65.018,1,-19.655
55,65.018,1,-19.691
56,65.07,1,-19.673
57,65.07,1,-19.709
58,65.07,1,-19.745
59,65.105,1,-19.745
60,65.105,1,-19.782
61,65.158,1,-19.818
62,65.158,1,-19.836
63,65.158,1,-19.855
64,65.193,1,-19.891
65,65.193,1,-19.909
66,65.228,1,-19.945
67,65.228,1,-19.982
68,65.263,1,-20
69,65.263,1,-20.036
70,65.298,1,-20.073
71,65.325,1,-20.1
72,65.351,1,-20.127
73,65.351,1,-20.164
74,65.386,1,-20.164
75,65.386,1,-20.218
76,65.421,1,-20.255
77,65.439,1,-20.273
78,65.456,1,-20.291
79,65.456,1,-20.345
80,65.491,1,-20.345
81,65.491,1,-20.382
82,65.544,1,-20.436
83,65.526,1,-20.418
84,65.561,1,-20.455
85,65.596,1,-20.455
86,65.596,1,-20.491
87,65.632,1,-20.509
88,65.667,1,-20.509
89,65.702,1,-20.545
90,65.702,1,-20.582
91,65.737,1,-20.582
92,65.754,1,-20.6
93,65.789,1,-20.6
94,65.789,1,-20.636
95,65.825,1,-20.673
96,65.86,1,-20.673
97,65.895,1,-20.691
98,65.895,1,-20.727
99,65.93,1,-20.727
100,65.965,1,-20.764
101,66,1,-20.8
102,66.018,1,-20.8
103,66.053,1,-20.836
104,66.088,1,-20.891
105,66.123,1,-20.927
106,66.158,1,-20.964
107,66.228,1,-21.018
108,66.246,1,-21.018
109,66.281,1,-21.055
110,66.316,1,-21.109
111,66.351,1,-21.145
112,66.386,1,-21.182
113,66.456,1,-21.236
114,66.468,1,-21.248
115,66.48,1,-21.261
116,66.491,1,-21.273
117,66.509,1,-21.3
118,66.526,1,-21.327
119,66.544,1,-21.345
120,66.561,1,-21.364
121,66.579,1,-21.391
122,66.596,1,-21.418
123,66.608,1,-21.43
124,66.62,1,-21.442
125,66.632,1,-21.455
126,66.649,1,-21.482
127,66.667,1,-21.509
128,66.684,1,-21.527
129,66.702,1,-21.545
130,66.719,1,-21.573
131,66.737,1,-21.6
132,66.737,1,-21.564
133,66.737,1,-21.527
134,66.772,1,-21.491
135,66.772,1,-21.455
136,66.807,1,-21.418
137,66.807,1,-21.382
138,66.842,1,-21.345
139,66.842,1,-21.309
140,66.895,1,-21.273
141,66.895,1,-21.236
142,66.895,1,-21.2
143,66.93,1,-21.164
144,66.93,1,-21.127
145,66.965,1,-21.091
146,66.965,1,-21.055
147,67,1,-21.018
148,67,1,-20.982
149,67.053,1,-20.945
150,67,1,-20.855
151,67,1,-20.782
152,66.982,1,-20.709
153,66.982,1,-20.636
154,66.982,1,-20.564
155,66.93,1,-20.491
156,66.93,1,-20.418
157,66.912,1,-20.345
158,66.912,1,-20.273
159,66.912,1,-20.2
160,66.86,1,-20.145
161,66.86,1,-20.073
162,66.86,1,-20
163,66.842,1,-19.927
164,66.842,1,-19.855
165,66.789,1,-19.782
166,66.789,1,-19.709
167,66.789,1,-19.636
168,66.772,1,-19.564
169,66.772,1,-19.491
170,66.772,1,-19.455
171,66.772,1,-19.364
172,66.772,1,-19.291
173,66.772,1,-19.218
174,66.772,1,-19.145
175,66.772,1,-19.073
176,66.772,1,-19
177,66.772,1,-18.927
178,66.807,1,-18.873
179,66.807,1,-18.8
180,66.807,1,-18.727
181,66.807,1,-18.655
182,66.807,1,-18.582
183,66.807,1,-18.509
184,66.807,1,-18.436
185,66.842,1,-18.4
186,66.807,1,-18.327
187,66.807,1,-18.255
188,66.807,1,-18.182
189,66.807,1,-18.164
190,66.807,1,-18.091
191,66.807,1,-18.018
192,66.807,1,-17.945
193,66.807,1,-17.927
194,66.772,1,-17.855
195,66.772,1,-17.782
196,66.772,1,-17.709
197,66.772,1,-17.691
198,66.772,1,-17.618
199,66.772,1,-17.545
200,66.772,1,-17.473
201,66.772,1,-17.455
202,66.754,1,-17.364
203,66.772,1,-17.327
204,66.789,1,-17.291
205,66.772,1,-17.236
206,66.789,1,-17.164
207,66.807,1,-17.127
208,66.789,1,-17.073
209,66.807,1,-17.036
210,66.825,1,-16.964
211,66.807,1,-16.909
212,66.825,1,-16.873
213,66.842,1,-16.836
214,66.877,1,-16.8
215,66.93,1,-16.782
216,67,1,-16.782
217,67.07,1,-16.782
218,67.158,1,-16.764
219,67.228,1,-16.764
220,67.298,1,-16.764
221,67.404,1,-16.764
222,67.456,1,-16.745
223,67.526,1,-16.745
224,67.596,1,-16.745
225,67.684,1,-16.727
226,67.754,1,-16.727
227,67.825,1,-16.727
228,67.93,1,-16.727
229,67.947,1,-16.727
230,68.018,1,-16.727
231,68.07,1,-16.727
232,68.14,1,-16.782
233,68.193,1,-16.782
234,68.263,1,-16.782
235,68.333,1,-16.836
236,68.351,1,-16.836
237,68.421,1,-16.836
238,68.474,1,-16.836
239,68.544,1,-16.891
240,68.596,1,-16.891
241,68.667,1,-16.891
242,68.737,1,-16.945
243,68.772,1,-16.945
244,68.807,1,-16.982
245,68.895,1,-17.018
246,68.93,1,-17.018
247,69.018,1,-17.055
248,69.053,1,-17.091
249,69.123,1,-17.127
250,69.175,1,-17.127
251,69.246,1,-17.164
252,69.298,1,-17.218
253,69.368,1,-17.255
254,69.421,1,-17.255
255,69.491,1,-17.291
256,69.526,1,-17.327
257,69.614,1,-17.364
258,69.649,1,-17.364
259,69.737,1,-17.4
260,69.772,1,-17.436
261,69.86,1,-17.491
262,69.912,1,-17.473
263,69.965,1,-17.473
264,70.018,1,-17.509
265,70.07,1,-17.509
266,70.158,1,-17.527
267,70.211,1,-17.527
268,70.263,1,-17.564
269,70.316,1,-17.564
270,70.421,1,-17.6
271,70.456,1,-17.636
272,70.491,1,-17.636
273,70.526,1,-17.673
274,70.596,1,-17.673
275,70.632,1,-17.709
276,70.667,1,-17.709
277,70.737,1,-17.745
278,70.772,1,-17.745
