frame,x,y,z
1,41.947,1.7,-35.545
2,41.947,1.7,-35.527
3,41.912,1.7,-35.564
4,41.877,1.7,-35.6
5,41.842,1.7,-35.636
6,41.807,1.7,-35.673
7,41.807,1.7,-35.709
8,41.754,1.7,-35.691
9,41.719,1.7,-35.727
10,41.684,1.7,-35.764
11,41.649,1.7,-35.8
12,41.614,1.7,-35.836
13,41.614,1.7,-35.818
14,41.579,1.7,-35.855
15,41.544,1.7,-35.891
16,41.509,1.7,-35.927
17,41.474,1.7,-35.964
18,41.474,1.7,-36
19,41.439,1.7,-36
20,41.404,1.7,-36.036
21,41.368,1.7,-36.036
22,41.333,1.7,-36.073
23,41.316,1.7,-36.091
24,41.298,1.7,-36.109
25,41.263,1.7,-36.109
26,41.228,1.7,-36.145
27,41.193,1.7,-36.145
28,41.193,1.7,-36.182
29,41.158,1.7,-36.182
30,41.123,1.7,-36.218
31,41.088,1.7,-36.218
32,41.053,1.7,-36.255
33,41.035,1.7,-36.273
34,41.018,1.7,-36.291
35,40.982,1.7,-36.291
36,40.947,1.7,-36.327
37,40.912,1.7,-36.327
38,40.912,1.7,-36.364
39,40.877,1.7,-36.327
40,40.842,1.7,-36.291
41,40.807,1.7,-36.291
42,40.772,1.7,-36.255
43,40.737,1.7,-36.218
44,40.702,1.7,-36.218
45,40.702,1.7,-36.145
46,40.702,1.7,-36.109
47,40.702,1.7,-36.073
48,40.649,1.7,-36.036
49,40.632,1.7,-36.018
50,40.614,1.7,-36
51,40.602,1.7,-35.988
52,40.591,1.7,-35.976
53,40.579,1.7,-35.964
54,40.553,1.7,-35.945
55,40.526,1.7,-35.927
56,40.515,1.7,-35.915
57,40.503,1.7,-35.903
58,40.491,1.7,-35.891
59,40.474,1.7,-35.873
60,40.456,1.7,-35.855
61,40.456,1.7,-35.842
62,40.456,1.7,-35.83
63,40.456,1.7,-35.818
64,40.456,1.7,-35.782
65,40.491,1.7,-35.782
66,40.491,1.7,-35.745
67,40.526,1.7,-35.745
68,40.526,1.7,-35.709
69,40.526,1.7,-35.673
70,40.561,1.7,-35.673
71,40.561,1.7,-35.636
72,40.596,1.7,-35.636
73,40.596,1.7,-35.6
74,40.632,1.7,-35.564
75,40.632,1.7,-35.527
76,40.667,1.7,-35.491
77,40.667,1.7,-35.455
78,40.702,1.7,-35.418
79,40.702,1.7,-35.382
80,40.737,1.7,-35.345
81,40.737,1.7,-35.309
82,40.772,1.7,-35.273
83,40.772,1.7,-35.236
84,40.807,1.7,-35.2
85,40.842,1.7,-35.2
86,40.842,1.7,-35.164
87,40.877,1.7,-35.127
88,40.877,1.7,-35.091
89,40.912,1.7,-35.055
90,40.912,1.7,-35.018
91,40.947,1.7,-34.982
92,40.947,1.7,-34.945
93,40.982,1.7,-34.909
94,40.982,1.7,-34.873
95,41.018,1.7,-34.836
96,41.018,1.7,-34.8
97,41.053,1.7,-34.764
98,41.088,1.7,-34.764
99,41.123,1.7,-34.727
100,41.158,1.7,-34.691
101,41.228,1.7,-34.655
102,41.263,1.7,-34.618
103,41.298,1.7,-34.6
104,41.368,1.7,-34.564
105,41.404,1.7,-34.527
106,41.439,1.7,-34.491
107,41.509,1.7,-34.509
108,41.509,1.7,-34.473
109,41.544,1.7,-34.436
110,41.579,1.7,-34.4
111,41.579,1.7,-34.364
112,41.614,1.7,-34.327
113,41.649,1.7,-34.309
114,41.684,1.7,-34.273
115,41.684,1.7,-34.236
116,41.719,1.7,-34.2
117,41.754,1.7,-34.164
118,41.789,1.7,-34.127
119,41.789,1.7,-34.145
120,41.825,1.7,-34.109
121,41.86,1.7,-34.073
122,41.895,1.7,-34.036
123,41.895,1.7,-34
124,41.93,1.7,-33.964
125,41.965,1.7,-33.945
126,42,1.7,-33.909
127,42,1.7,-33.873
