frame,x,y,z,roty
1,48.772,0,-13.345,0
2,48.842,0,-13.127,0
3,48.877,0,-12.909,0
4,48.947,0,-12.691,0
5,49.018,0,-12.473,0
6,49.053,0,-12.255,0
7,49.123,0,-12.036,0
8,49.193,0,-11.818,0
9,49.263,0,-11.6,0
10,49.298,0,-11.364,0
11,49.368,0,-11.164,0
12,49.439,0,-10.964,0
13,49.509,0,-10.764,0
14,49.579,0,-10.564,0
15,49.632,0,-10.364,0
16,49.702,0,-10.164,0
17,49.772,0,-9.964,0
18,49.842,0,-9.764,0
19,49.912,0,-9.564,0
20,50,0,-9.382,30
21,50.035,0,-9.236,30
22,50.105,0,-9.091,30
23,50.175,0,-8.945,30
24,50.263,0,-8.818,30
25,50.298,0,-8.673,30
26,50.368,0,-8.527,30
27,50.439,0,-8.382,30
28,50.526,0,-8.255,30
29,50.526,0,-8.145,30
30,50.561,0,-8.036,30
31,50.561,0,-7.927,30
32,50.596,0,-7.818,30
33,50.596,0,-7.709,30
34,50.632,0,-7.6,30
35,50.667,0,-7.527,30
36,50.632,0,-7.455,30
37,50.596,0,-7.382,30
38,50.596,0,-7.309,30
39,50.579,0,-7.236,30
40,50.579,0,-7.164,30
41,50.544,0,-7.091,90
42,50.561,0,-7.018,90
43,50.561,0,-6.945,90
44,50.561,0,-6.873,90
45,50.596,0,-6.8,90
46,50.596,0,-6.727,90
47,50.596,0,-6.655,90
48,50.632,0,-6.582,90
49,50.632,0,-6.545,90
50,50.632,0,-6.509,90
51,50.632,0,-6.473,180
52,50.667,0,-6.436,180
53,50.667,0,-6.4,180
54,50.667,0,-6.364,180
55,50.702,0,-6.364,180
56,50.719,0,-6.364,180
57,50.737,0,-6.364,180
58,50.754,0,-6.364,180
59,50.772,0,-6.364,180
60,50.789,0,-6.364,180
61,50.807,0,-6.364,180
62,50.825,0,-6.364,180
63,50.842,0,-6.364,180
64,50.86,0,-6.364,180
65,50.877,0,-6.364,180
66,50.895,0,-6.364,180
67,50.912,0,-6.364,180
68,50.947,0,-6.364,180
69,50.982,0,-6.4,180
70,51.018,0,-6.4,180
71,51.053,0,-6.436,180
72,50.982,0,-6.436,180
73,50.947,0,-6.473,180
74,50.912,0,-6.473,180
75,50.877,0,-6.509,180
76,50.842,0,-6.545,180
77,50.807,0,-6.545,180
78,50.772,0,-6.582,180
79,50.737,0,-6.582,180
80,50.702,0,-6.618,180
81,50.667,0,-6.655,180
82,50.632,0,-6.655,180
83,50.596,0,-6.691,180
84,50.561,0,-6.691,180
85,50.526,0,-6.727,180
86,50.491,0,-6.764,180
87,50.456,0,-6.764,180
88,50.421,0,-6.8,180
89,50.386,0,-6.8,180
90,50.351,0,-6.836,180
91,50.316,0,-6.873,180
92,50.281,0,-6.873,180
93,50.246,0,-6.909,180
94,50.211,0,-6.945,180
95,50.193,0,-6.982,180
96,50.193,0,-7.018,180
97,50.193,0,-7.055,180
98,50.193,0,-7.091,180
99,50.193,0,-7.127,180
100,50.193,0,-7.164,180
101,50.175,0,-7.2,180
102,50.175,0,-7.236,180
103,50.175,0,-7.273,180
104,50.175,0,-7.309,180
105,50.175,0,-7.345,180
106,50.175,0,-7.382,180
107,50.158,0,-7.418,180
108,50.158,0,-7.455,180
109,50.158,0,-7.491,180
110,50.158,0,-7.527,180
111,50.158,0,-7.564,180
112,50.158,0,-7.6,180
113,50.14,0,-7.636,180
114,50.14,0,-7.673,180
115,50.14,0,-7.709,180
116,50.14,0,-7.745,180
117,50.14,0,-7.782,180
118,50.14,0,-7.818,180
119,50.14,0,-7.891,180
120,50.158,0,-7.891,180
121,50.175,0,-7.927,180
122,50.193,0,-7.964,180
123,50.246,0,-8,180
124,50.263,0,-8.036,180
125,50.281,0,-8.073,180
126,50.351,0,-8.109,180
127,50.298,0,-8.145,180
128,50.281,0,-8.182,180
129,50.263,0,-8.218,180
130,50.246,0,-8.255,180
131,50.246,0,-8.327,180
132,50.105,0,-8.364,180
133,49.965,0,-8.4,180
134,49.86,0,-8.4,180
135,49.772,0,-8.436,180
136,49.684,0,-8.436,180
137,49.596,0,-8.473,180
138,49.509,0,-8.473,180
139,49.421,0,-8.509,180
140,49.333,0,-8.545,180
141,49.246,0,-8.582,180
142,49.193,0,-8.618,180
143,49.123,0,-8.655,180
144,49.07,0,-8.691,180
145,49.035,0,-8.727,180
146,48.947,0,-8.764,180
147,48.895,0,-8.8,180
148,48.825,0,-8.836,180
149,48.772,0,-8.873,180
150,48.737,0,-8.909,180
151,48.667,0,-8.909,-90
152,48.632,0,-8.945,-90
153,48.614,0,-8.964,-90
154,48.579,0,-9.018,-90
155,48.561,0,-9.055,-90
156,48.561,0,-9.073,-90
157,48.561,0,-9.091,-90
158,48.579,0,-9.127,-90
159,48.579,0,-9.164,-90
160,48.632,0,-9.2,-90
161,48.632,0,-9.218,-90
162,48.649,0,-9.273,-90
163,48.649,0,-9.291,-90
164,48.702,0,-9.345,-90
165,48.649,0,-9.309,-90
166,48.643,0,-9.309,-90
167,48.637,0,-9.309,-90
168,48.632,0,-9.309,-90
169,48.596,0,-9.327,-90
170,48.591,0,-9.315,-90
171,48.585,0,-9.303,-90
172,48.579,0,-9.291,-90
173,48.561,0,-9.3,-90
174,48.544,0,-9.309,-90
175,48.526,0,-9.309,-90
176,48.526,0,-9.315,-90
177,48.526,0,-9.321,-90
178,48.526,0,-9.327,-90
179,48.474,0,-9.291,-90
180,48.468,0,-9.291,-90
